2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05005103-6648430,4.066,16.538,15.713,14.267,12.645,0.825,1.446,3
05074874-6837257,3.737,17.306,16.478,14.958,13.51,0.828,1.52,4
05251662-6907486,3.961,16.834,16.003,14.559,12.886,0.831,1.444,4
05164086-6927299,3.798,17.009,16.176,14.937,13.066,0.833,1.239,4
05025077-6554460,3.975,17.055,16.218,14.663,13.094,0.837,1.555,4
05413406-6758229,3.595,17.603,16.763,15.072,13.751,0.84,1.691,4
04493508-7002586,3.616,17.434,16.594,15.147,13.807,0.84,1.447,2
05150224-6913364,3.644,19.636,18.795,15.718,14.083,0.841,3.077,0
05075345-6559253,4.234,16.496,15.646,14.093,11.331,0.85,1.553,3
05270180-6942376,3.692,15.9,15.048,15.252,13.312,0.852,-0.204,0
05330972-6743339,3.656,16.994,16.138,14.959,13.639,0.856,1.179,3
05053274-6825512,3.939,17.357,16.495,14.866,12.562,0.862,1.629,0
05000918-6951444,3.811,17.065,16.201,14.759,14.212,0.864,1.442,4
05182724-6723242,3.926,17.018,16.153,14.588,12.975,0.865,1.565,4
05323525-6700326,4.719,15.656,14.788,13.045,99.999,0.868,1.743,4
05344644-6659202,4.46,15.964,15.095,13.587,10.528,0.869,1.508,4
04543426-6612158,3.715,17.252,16.383,15.026,13.669,0.869,1.357,4
05103732-6903127,3.972,17.299,16.425,14.975,12.638,0.874,1.45,0
04443612-7043022,5.462,16.239,15.363,13.801,99.999,0.876,1.562,4
05232668-6958492,4.452,17.621,16.744,15.045,11.931,0.877,1.699,4
05293442-6655283,4.761,17.266,16.388,13.482,9.037,0.878,2.906,4
04595127-6652065,4.028,16.631,15.752,14.351,12.808,0.879,1.401,3
05134800-6854232,3.796,19.372,18.492,16.651,14.303,0.88,1.841,0
05241132-6830238,4.039,17.326,16.444,14.815,13.049,0.882,1.629,4
05060649-6905287,3.757,16.967,16.084,14.826,13.62,0.883,1.258,0
04543755-6956107,3.724,17.286,16.4,14.986,13.527,0.886,1.414,4
04560060-7010232,4.605,16.929,16.039,14.248,11.658,0.89,1.791,4
05021360-6854349,3.765,17.036,16.144,14.732,13.4,0.892,1.412,4
05131341-7058551,3.661,18.179,17.283,15.742,13.737,0.896,1.541,4
05070923-6858287,3.688,16.839,15.942,14.63,13.549,0.897,1.312,0
05140171-6906481,3.606,18.319,17.422,15.818,14.089,0.897,1.604,4
05155812-6735269,3.864,17.121,16.223,14.759,13.172,0.898,1.464,0
05315785-7150109,3.784,17.266,16.368,14.933,13.408,0.898,1.435,3
05073857-6920218,4.438,16.003,15.104,13.506,11.374,0.899,1.598,0
04553611-6715518,3.687,16.89,15.991,14.76,13.521,0.899,1.231,4
05395049-6626145,3.893,16.716,15.814,14.507,12.95,0.902,1.307,3
05383985-6800295,3.71,17.053,16.151,14.797,13.507,0.902,1.354,4
05315913-7152212,3.919,17.308,16.403,14.869,13.131,0.905,1.534,3
05335955-6909518,4.515,16.355,15.449,13.781,99.999,0.906,1.668,4
05413259-6848183,3.741,17.55,16.644,15.159,13.584,0.906,1.485,4
04523016-6939416,4.395,16.65,15.739,14.003,11.916,0.911,1.736,3
05253757-7006188,3.915,17.119,16.201,14.754,13.177,0.918,1.447,4
05405949-6743261,3.814,17.132,16.214,14.681,13.309,0.918,1.533,4
05042488-6637139,3.902,16.857,15.934,14.435,13.084,0.923,1.499,4
05255226-6723277,3.633,17.317,16.394,14.963,13.691,0.923,1.431,4
05262353-6952257,5.331,15.662,14.737,12.195,11.723,0.925,2.542,4
05421178-7128452,4.416,16.319,15.392,13.661,11.942,0.927,1.731,3
04575332-6923411,4.536,16.075,15.146,13.312,11.615,0.929,1.834,1
05360410-6731466,3.627,18.603,17.668,16.278,14.001,0.935,1.39,4
05003139-7008437,4.13,16.638,15.701,14.171,12.631,0.937,1.53,3
04574490-6725148,3.702,17.211,16.268,14.868,13.531,0.943,1.4,2
05303343-7017419,3.607,17.438,16.494,15.21,13.832,0.944,1.284,4
04534210-6825102,3.594,17.817,16.873,15.329,13.891,0.944,1.544,4
05095798-6851011,3.646,17.471,16.524,15.053,13.836,0.947,1.471,0
05134631-6527104,3.568,17.929,16.982,15.325,13.86,0.947,1.657,3
04564799-6728552,3.632,17.519,16.57,15.15,13.77,0.949,1.42,4
05214366-7146116,4.253,16.383,15.434,13.936,12.142,0.949,1.498,3
05403931-6652201,3.831,17.316,16.364,14.933,13.392,0.952,1.431,4
05235348-6903083,3.85,17.309,16.357,14.897,13.281,0.952,1.46,4
05032532-7013046,4.279,16.152,15.196,13.781,12.179,0.956,1.415,3
05312107-6842564,3.938,17.134,16.177,14.601,13.026,0.957,1.576,0
05433191-6940044,4.663,16.662,15.704,13.877,11.217,0.958,1.827,4
05535929-6834403,3.627,17.668,16.71,15.337,13.827,0.958,1.373,4
05484991-6826013,4.452,16.388,15.429,13.895,11.872,0.959,1.534,4
04500023-6813531,3.841,18.03,17.07,15.492,13.268,0.96,1.578,4
05324449-6916107,4.495,17.677,16.716,14.894,12.14,0.961,1.822,4
05285307-6930150,4.092,16.678,15.712,15.179,12.601,0.966,0.533,4
05242103-6946232,3.664,17.103,16.137,15.257,14.049,0.966,0.88,4
05125805-6654069,3.695,17.531,16.563,15.111,13.603,0.968,1.452,4
04543729-6657428,3.613,17.576,16.608,15.228,13.79,0.968,1.38,4
05223654-6744299,3.77,17.104,16.134,14.774,13.359,0.97,1.36,4
05290060-6923369,3.827,17.071,16.1,14.656,13.323,0.971,1.444,4
05161646-6649320,3.678,17.281,16.306,14.933,13.647,0.975,1.373,4
05183262-6618087,3.812,17.077,16.102,14.866,13.42,0.975,1.236,3
04541165-6813056,3.877,17.355,16.379,14.847,13.139,0.976,1.532,4
05255210-6959280,3.98,16.925,15.949,14.476,12.818,0.976,1.473,0
05073529-6640101,3.895,18.633,17.656,15.965,13.203,0.977,1.691,4
05304412-6640534,3.746,17.166,16.188,14.857,13.471,0.978,1.331,4
05335796-6703559,4.599,16.123,15.144,13.506,99.999,0.979,1.638,4
05220171-7009597,3.704,17.154,16.173,14.8,13.363,0.981,1.373,4
05211457-6823537,3.544,18.106,17.122,15.662,14.106,0.984,1.46,4
05222842-6851249,3.902,17.226,16.24,14.778,13.163,0.986,1.462,4
05361925-6655504,3.611,17.432,16.445,15.203,99.999,0.987,1.242,4
05191683-6557387,3.907,16.934,15.943,14.471,13.078,0.991,1.472,3
05275224-6558285,3.714,17.155,16.163,14.906,13.458,0.992,1.257,0
05275093-6926468,3.655,17.311,16.318,14.987,13.687,0.993,1.331,4
04542957-7101272,3.62,18.434,17.439,15.68,13.96,0.995,1.759,4
04490798-6907191,4.031,16.92,15.924,14.46,12.765,0.996,1.464,4
05502691-6837030,3.806,17.307,16.304,14.914,13.433,1.003,1.39,4
05355197-6956595,3.631,17.226,16.221,14.742,13.733,1.005,1.479,4
05340364-6747150,3.691,17.197,16.191,14.867,13.518,1.006,1.324,4
04492192-6909083,3.664,19.049,18.042,16.213,13.882,1.007,1.829,4
04572698-6629175,4.207,16.81,15.8,14.243,99.999,1.01,1.557,2
05390627-6727221,3.574,17.738,16.727,15.387,13.912,1.011,1.34,0
05232015-6932115,4.087,16.817,15.805,14.641,12.791,1.012,1.164,4
05425493-6730552,3.704,17.173,16.16,14.833,13.547,1.013,1.327,3
05390396-6735139,3.642,17.673,16.655,15.21,13.751,1.018,1.445,4
05040784-6856475,3.866,17.308,16.29,14.864,13.331,1.018,1.426,4
05453400-7118328,3.744,18.16,17.142,15.676,13.599,1.018,1.466,4
05101667-6839159,4.461,16.163,15.144,13.526,11.772,1.019,1.618,4
05333862-6910146,4.577,16.543,15.524,13.685,99.999,1.019,1.839,4
05411450-7019558,3.645,17.617,16.598,14.969,13.787,1.019,1.629,3
05224609-6755564,3.599,17.478,16.459,15.202,13.821,1.019,1.257,4
05130132-7027418,5.039,16.013,14.994,13.416,99.999,1.019,1.578,2
05014685-6742207,3.556,18.336,17.315,15.598,13.928,1.021,1.717,4
04574409-6830326,3.649,17.416,16.395,14.963,13.587,1.021,1.432,4
05041701-6625455,3.923,16.64,15.618,14.156,12.574,1.022,1.462,2
04515622-6817567,3.923,17.201,16.179,14.674,13.01,1.022,1.505,3
04553695-6927561,4.622,16.917,15.893,14.1,11.615,1.024,1.793,2
05492573-6740593,3.823,17.241,16.217,14.771,13.458,1.024,1.446,4
05032248-6946057,3.913,16.923,15.897,14.26,99.999,1.026,1.637,4
05522746-6819237,4.863,16.908,15.879,13.434,10.782,1.029,2.445,4
05345716-6920419,4.491,16.263,15.234,13.606,11.696,1.029,1.628,4
05440780-6823093,3.915,17.152,16.121,14.653,13.14,1.031,1.468,3
04542494-6705229,3.754,17.323,16.291,14.896,13.402,1.032,1.395,4
05073775-6757031,3.901,17.31,16.277,14.707,13.135,1.033,1.57,0
05464760-6734534,3.701,17.361,16.325,14.911,13.655,1.036,1.414,4
05363216-6750070,3.758,17.524,16.487,15.015,13.43,1.037,1.472,4
05284232-6643359,3.738,17.341,16.304,14.88,13.519,1.037,1.424,4
05275019-6800048,3.779,17.327,16.289,14.823,13.444,1.038,1.466,4
05395159-6839388,3.719,17.233,16.195,14.915,13.502,1.038,1.28,3
05344997-6919509,4.429,16.214,15.175,13.528,11.89,1.039,1.647,4
05303863-6634030,3.799,18.603,17.564,16.157,13.625,1.039,1.407,4
05465030-6714468,4.635,17.174,16.134,14.453,11.506,1.04,1.681,4
05394933-7105095,3.726,17.58,16.54,15.053,13.632,1.04,1.487,0
05241034-6724014,4.122,16.71,15.67,14.139,11.877,1.04,1.531,4
05130271-7001207,4.026,17.094,16.053,14.382,12.498,1.041,1.671,4
05222074-6702025,3.888,16.956,15.914,14.524,13.092,1.042,1.39,4
05311542-6922502,3.763,17.431,16.389,14.97,13.368,1.042,1.419,4
05033745-6607000,4.51,16.1,15.056,13.473,99.999,1.044,1.583,4
05312213-6842158,4.003,17.066,16.02,14.512,12.601,1.046,1.508,0
05045023-7201334,3.624,17.679,16.631,15.26,13.712,1.048,1.371,3
05304237-6757518,3.824,16.671,15.622,14.368,13.201,1.049,1.254,4
05222492-6851505,4,17.34,16.283,14.647,12.987,1.057,1.636,0
04555235-6654338,3.68,17.384,16.326,14.955,13.599,1.058,1.371,4
05052052-6843334,3.595,17.478,16.42,15.091,13.792,1.058,1.329,4
04494583-6938096,4.624,16.063,15.004,13.266,11.419,1.059,1.738,4
05223058-6752572,3.961,17.009,15.95,14.473,12.989,1.059,1.477,4
05244862-6633187,4.626,16.395,15.335,13.62,9.953,1.06,1.715,4
05251662-6853159,3.767,17.197,16.136,14.716,13.41,1.061,1.42,0
05395683-6935210,4.389,19.453,18.389,16.589,12.537,1.064,1.8,4
05192397-6927105,3.979,16.927,15.862,14.528,12.956,1.065,1.334,0
05385810-6726465,3.815,17.122,16.055,14.699,13.186,1.067,1.356,4
05154174-6958451,3.74,18.404,17.337,15.678,13.307,1.067,1.659,4
05345788-6625301,3.741,19.284,18.215,16.585,13.857,1.069,1.63,4
05194426-6802261,4.613,16.453,15.384,13.391,99.999,1.069,1.993,4
05113722-6906138,3.78,17.696,16.627,15.057,13.618,1.069,1.57,4
05114345-6828419,3.672,17.535,16.465,14.995,13.622,1.07,1.47,4
05341992-6605107,3.745,18.187,17.116,15.707,13.595,1.071,1.409,4
04395031-6846522,3.716,17.144,16.072,14.82,13.497,1.072,1.252,0
05012546-6607180,4.316,16.346,15.273,13.706,10.767,1.073,1.567,3
05262049-7054170,3.736,17.084,16.01,14.694,13.385,1.074,1.316,0
05531920-6948134,3.735,17.4,16.326,14.949,13.555,1.074,1.377,4
05134229-7013532,3.815,19.618,18.544,15.72,13.713,1.074,2.824,4
05122294-7002472,3.636,17.532,16.458,14.997,13.669,1.074,1.461,0
05171545-6814132,3.595,18.029,16.955,15.499,13.882,1.074,1.456,0
05210662-6944507,3.91,17.109,16.033,14.525,13.264,1.076,1.508,0
05321937-7149230,3.711,17.922,16.838,15.235,13.657,1.084,1.603,3
05184551-6716460,3.964,17.162,16.077,14.473,12.925,1.085,1.604,0
04531975-6842417,3.942,17.186,16.099,14.605,13.033,1.087,1.494,4
05340772-6955456,3.81,17.483,16.396,15,13.378,1.087,1.396,4
05300290-6908039,4.445,16.714,15.622,13.916,10.601,1.092,1.706,0
04573220-6911150,3.785,17.121,16.029,14.726,13.382,1.092,1.303,4
04565779-6920246,3.709,17.394,16.302,14.985,13.558,1.092,1.317,4
05363206-6740001,3.755,18.597,17.505,16.013,13.583,1.092,1.492,4
05292254-6625499,3.823,17.118,16.025,14.75,13.283,1.093,1.275,4
04465652-6916123,3.632,17.658,16.564,15.209,13.755,1.094,1.355,4
05323937-6637323,4.653,16.059,14.965,13.4,99.999,1.094,1.565,3
04395844-6849535,3.566,19.587,18.492,17.028,14.262,1.095,1.464,0
05173845-6926093,3.634,17.599,16.501,15.226,13.522,1.098,1.275,4
05425128-6743307,3.654,19.252,18.152,16.496,14.031,1.1,1.656,3
05521545-6854387,4.197,16.773,15.671,14.142,12.394,1.102,1.529,3
05403916-6803371,3.842,17.211,16.108,14.695,13.238,1.103,1.413,3
04554686-7125073,3.867,17.316,16.208,14.746,13.236,1.108,1.462,3
04565593-7043439,3.984,17.312,16.202,14.546,12.84,1.11,1.656,4
05095244-6746066,3.609,17.86,16.75,15.121,13.742,1.11,1.629,0
05215988-6620426,4.835,16.314,15.202,13.476,12.599,1.112,1.726,4
05283316-6614097,3.775,17.476,16.36,14.915,13.062,1.116,1.445,4
05171640-6601432,3.612,17.667,16.551,15.12,13.809,1.116,1.431,4
04562380-6923128,4.272,17.261,16.143,14.531,12.376,1.118,1.612,4
05325502-6813521,3.676,17.839,16.721,15.281,13.75,1.118,1.44,4
05244085-6916523,3.916,16.81,15.691,14.263,12.903,1.119,1.428,4
05234361-6541596,5.077,16.737,15.616,13.333,99.999,1.121,2.283,4
05072331-6700577,3.865,17.404,16.282,14.743,13.154,1.122,1.539,4
05080209-6903584,3.948,17.413,16.291,14.725,13.285,1.122,1.566,4
04502680-6957102,3.9,17.449,16.326,14.793,13.204,1.123,1.533,4
05295467-7030145,3.993,16.864,15.738,14.246,12.84,1.126,1.492,4
05231546-6759408,4.709,15.93,14.803,12.952,11.531,1.127,1.851,4
05052690-6904547,3.81,20.384,19.257,17.426,14.136,1.127,1.831,0
05402255-6831140,3.674,17.35,16.223,14.827,13.599,1.127,1.396,4
05200922-6620412,3.684,17.659,16.531,15.145,13.68,1.128,1.386,0
04534334-6819417,3.63,17.906,16.778,15.282,13.803,1.128,1.496,0
05065879-6704374,3.636,19.514,18.386,16.737,13.926,1.128,1.649,0
04542762-6722454,4.694,15.893,14.764,13.076,11.162,1.129,1.688,4
05290183-6706053,4.465,16.263,15.134,13.536,99.999,1.129,1.598,4
05343145-6653080,3.623,17.618,16.488,15.175,13.814,1.13,1.313,4
05192130-6821451,4.054,17.303,16.171,14.54,12.717,1.132,1.631,0
05032422-6622519,4.298,16.362,15.226,13.6,12.063,1.136,1.626,2
05085064-6846033,4.005,17.101,15.965,14.338,12.781,1.136,1.627,4
05422956-6816413,4.385,16.702,15.565,13.828,11.971,1.137,1.737,1
04573023-6650322,4.071,16.946,15.806,14.328,12.6,1.14,1.478,4
04585460-6744325,3.663,17.512,16.369,18.152,13.531,1.143,-1.783,4
05025700-6603435,4.094,16.932,15.782,14.3,11.658,1.15,1.482,4
05304071-7005584,3.72,17.234,16.082,14.99,13.528,1.152,1.092,4
05390505-6720099,3.97,17.35,16.197,14.667,12.923,1.153,1.53,4
05280818-6902139,4.935,17.123,15.968,14.019,99.999,1.155,1.949,0
05231186-6639250,3.801,17.357,16.201,14.82,13.432,1.156,1.381,4
05384768-6831298,3.693,17.511,16.353,15.045,13.631,1.158,1.308,4
05133131-6627360,4.375,16.443,15.285,13.619,11.819,1.158,1.666,3
05433340-6622028,3.688,17.361,16.202,14.907,13.405,1.159,1.295,4
05183469-6901507,3.592,17.808,16.648,15.177,14.009,1.16,1.471,0
05500263-6816100,4.614,16.529,15.367,13.545,11.539,1.162,1.822,4
05223173-7102318,3.931,17.687,16.523,14.993,13.025,1.164,1.53,0
04572741-6858327,3.708,17.582,16.415,14.798,13.486,1.167,1.617,2
05231499-6811135,4.044,17.746,16.578,14.896,12.889,1.168,1.682,4
05083696-6844357,3.605,17.637,16.469,14.988,13.743,1.168,1.481,4
05410987-6915359,4.544,16.994,15.824,14.109,11.842,1.17,1.715,4
05194186-6928355,3.592,17.968,16.798,15.379,13.904,1.17,1.419,0
04571967-6823213,4.118,17.274,16.103,14.347,12.632,1.171,1.756,4
05411381-6841332,3.685,17.97,16.798,15.26,13.693,1.172,1.538,4
05442181-6804468,3.652,17.819,16.646,15.131,13.853,1.173,1.515,4
05511946-6921308,3.591,17.567,16.394,15.253,13.751,1.173,1.141,2
05434282-6911153,3.698,17.989,16.815,15.286,13.718,1.174,1.529,4
04534436-6922535,3.651,17.853,16.679,15.125,13.768,1.174,1.554,3
05070669-6905407,4.182,17.444,16.268,14.593,12.738,1.176,1.675,0
05260045-6811018,3.595,17.679,16.503,15.158,13.77,1.176,1.345,4
05302752-6903582,3.727,21.649,20.473,20.005,14.937,1.176,0.468,4
05431890-7044400,3.73,17.803,16.626,14.84,13.413,1.177,1.786,3
05291883-6935500,3.864,17.259,16.078,14.649,12.954,1.181,1.429,4
05062232-6603007,3.576,18.02,16.839,15.387,13.865,1.181,1.452,0
05181964-6927150,4.301,16.949,15.767,14.181,12.234,1.182,1.586,0
04473838-6920304,3.744,18.073,16.891,14.984,13.533,1.182,1.907,4
05263475-6648095,3.667,17.434,16.251,14.935,13.667,1.183,1.316,0
05272140-6956563,3.945,17.286,16.1,14.652,13.048,1.186,1.448,0
05253759-6656412,3.65,17.463,16.276,15.093,13.691,1.187,1.183,4
05411596-6729562,3.894,17.229,16.041,14.486,13.039,1.188,1.555,4
04582774-6915304,4.697,16.323,15.134,13.376,11.166,1.189,1.758,0
05412093-7022052,3.768,17.575,16.385,14.789,13.659,1.19,1.596,4
04510202-6957471,4.132,17.306,16.116,14.456,12.542,1.19,1.66,4
05254633-6922354,4.164,16.959,15.768,14.069,12.514,1.191,1.699,4
05461435-6723250,3.629,17.593,16.402,14.994,13.752,1.191,1.408,4
05253069-6847430,3.81,17.429,16.235,14.697,13.305,1.194,1.538,0
05394549-6800301,3.892,17.408,16.213,14.66,13.114,1.195,1.553,4
05225557-6806553,3.714,17.667,16.47,14.963,13.475,1.197,1.507,2
04534108-6938469,3.713,17.735,16.536,14.913,13.533,1.199,1.623,4
05434920-6939409,3.83,17.251,16.05,14.774,13.191,1.201,1.276,4
05343989-6622322,3.714,17.371,16.169,14.79,13.574,1.202,1.379,4
05210873-7154456,3.638,17.826,16.624,15.24,13.704,1.202,1.384,4
04562445-6619441,4.412,17.094,15.89,14.135,10.647,1.204,1.755,4
05044113-6611034,4.143,17.097,15.893,14.258,11.522,1.204,1.635,0
05094490-6523167,3.909,17.258,16.054,14.521,13.078,1.204,1.533,3
05320576-6852304,3.918,17.164,15.959,14.479,12.944,1.205,1.48,0
05322655-6931212,4.117,17.298,16.092,14.44,12.746,1.206,1.652,4
05050933-6707330,3.68,17.643,16.435,14.936,13.533,1.208,1.499,0
05084614-6803125,3.738,17.499,16.29,14.776,13.428,1.209,1.514,4
05105581-6848508,4.835,15.723,14.514,12.766,99.999,1.209,1.748,4
05275949-6847509,3.985,17.228,16.015,14.416,12.774,1.213,1.599,0
05363953-7035508,3.916,17.26,16.047,14.546,12.901,1.213,1.501,4
05102112-6857596,3.667,17.903,16.689,15.209,13.798,1.214,1.48,4
05101760-6919344,3.599,17.845,16.631,15.171,13.804,1.214,1.46,0
05174179-6929492,3.541,18.176,16.962,15.538,14.003,1.214,1.424,0
05014977-7015510,4.183,16.809,15.594,13.969,12.258,1.215,1.625,4
05430231-6719522,4.805,15.958,14.74,12.903,11.069,1.218,1.837,3
04581925-6732366,4.624,16.493,15.274,13.566,11.281,1.219,1.708,3
05292756-6859592,4.524,16.433,15.214,13.536,99.999,1.219,1.678,4
05011383-6613014,3.848,17.233,16.013,14.59,13.185,1.22,1.423,4
05173219-6714066,3.589,18.01,16.79,15.32,13.831,1.22,1.47,0
05184588-6937201,3.791,17.807,16.584,15.006,13.42,1.223,1.578,0
05441035-6748366,3.74,17.522,16.299,14.924,13.566,1.223,1.375,4
05151744-6918047,4.31,17.421,16.195,14.382,11.942,1.226,1.813,0
05040207-6601081,4.545,17.023,15.797,13.95,99.999,1.226,1.847,4
05281786-7006412,3.863,17.368,16.141,14.707,13.028,1.227,1.434,4
04582787-6718197,3.881,17.471,16.244,14.771,13.174,1.227,1.473,4
05203436-6637479,3.683,17.657,16.43,14.804,13.588,1.227,1.626,0
05261606-6606589,5.019,16.73,15.5,13.451,99.999,1.23,2.049,4
05442642-6712288,4.091,17.663,16.432,14.682,12.656,1.231,1.75,4
04532898-6723449,3.873,17.553,16.322,14.719,13.201,1.231,1.603,4
04545555-7045266,3.652,17.964,16.732,15.202,13.747,1.232,1.53,4
05151795-6705417,3.589,17.998,16.764,15.273,13.761,1.234,1.491,0
05292050-6900063,4.501,15.61,14.374,13.216,99.999,1.236,1.158,0
05053738-6840244,3.814,17.519,16.282,14.79,13.216,1.237,1.492,0
05121516-6855522,3.782,17.629,16.392,14.812,13.404,1.237,1.58,4
05263738-6614506,3.975,17.168,15.93,14.472,12.854,1.238,1.458,4
05211784-6914575,3.691,17.954,16.716,15.37,13.674,1.238,1.346,0
04500856-6903222,4.086,17.143,15.904,14.3,12.615,1.239,1.604,4
05022596-7037176,4.036,17.014,15.773,14.152,13.55,1.241,1.621,1
05211505-6901286,3.658,17.874,16.631,15.166,13.751,1.243,1.465,4
05492714-6736326,3.611,17.744,16.501,15.116,13.864,1.243,1.385,0
05311990-7001545,3.983,17.62,16.377,15.051,13.087,1.243,1.326,4
04540521-6716328,3.776,17.471,16.225,14.814,13.389,1.246,1.411,4
05090903-6625229,3.633,17.524,16.278,14.982,13.613,1.246,1.296,4
05292090-6935562,4.228,15.221,13.974,13.396,11.97,1.247,0.578,4
05231078-7208133,3.577,18.031,16.783,15.3,13.905,1.248,1.483,4
05012298-7024454,3.712,17.677,16.429,14.871,13.61,1.248,1.558,4
05222377-6922521,4.573,16.393,15.144,13.416,11.493,1.249,1.728,4
05374275-6837040,4.24,16.733,15.483,13.819,11.026,1.25,1.664,4
04570585-6705349,3.628,17.7,16.45,15.051,13.711,1.25,1.399,4
04445072-6939213,4.089,17.4,16.149,14.465,12.617,1.251,1.684,4
04482454-6924065,3.755,18.272,17.021,15.588,13.564,1.251,1.433,4
05105988-7014115,3.899,17.449,16.198,14.732,13.038,1.251,1.466,0
04545411-6740416,3.733,17.448,16.193,14.806,13.428,1.255,1.387,4
05175878-6936352,3.931,17.159,15.903,14.434,13.004,1.256,1.469,0
05204394-6938443,4.136,16.828,15.571,14.058,12.777,1.257,1.513,4
05224914-6607483,5,15.672,14.415,11.617,99.999,1.257,2.798,4
05031008-7009538,4.17,16.903,15.645,14.079,12.625,1.258,1.566,4
05031133-6913585,3.668,17.598,16.34,14.754,13.659,1.258,1.586,4
05343509-6652242,3.635,17.506,16.248,14.909,13.673,1.258,1.339,4
05042209-6611454,4.763,17.418,16.16,14.338,99.999,1.258,1.822,4
05291291-6710167,3.632,17.708,16.449,15.084,13.784,1.259,1.365,4
05103564-6852566,4.019,17.325,16.066,14.347,12.901,1.259,1.719,4
04565470-6821379,3.589,18.089,16.829,15.345,13.904,1.26,1.484,4
04423661-6817567,4.57,16.869,15.609,13.772,11.487,1.26,1.837,3
05013100-6924246,3.703,17.796,16.535,15.059,13.547,1.261,1.476,4
05102890-6653339,3.683,17.496,16.235,14.839,13.562,1.261,1.396,4
05345294-6802399,3.651,17.865,16.604,15.109,13.722,1.261,1.495,4
05231970-6846009,3.993,17.35,16.089,14.474,12.775,1.261,1.615,4
04573151-6648130,3.822,17.153,15.891,14.574,13.173,1.262,1.317,4
04573276-7049493,4.204,16.89,15.628,13.974,12.358,1.262,1.654,3
05090177-6939578,4.268,16.888,15.626,14.089,12.472,1.262,1.537,4
04503136-6958345,3.856,17.552,16.287,14.784,13.225,1.265,1.503,2
05375509-6819475,3.752,17.357,16.091,14.747,13.322,1.266,1.344,4
05332639-6809280,3.778,17.705,16.438,14.921,13.385,1.267,1.517,0
05303501-6553133,4.066,17.071,15.804,14.262,11.943,1.267,1.542,3
05424072-6811500,3.812,17.851,16.582,14.915,13.366,1.269,1.667,4
05362030-7026336,3.704,17.714,16.445,14.854,13.68,1.269,1.591,4
05503291-6738357,4.751,16.212,14.942,13.008,11.105,1.27,1.934,4
