Umag,Bmag,Vmag,Imag,U-B,B-V,UV
16.716,15.814,14.507,12.95,0.902,1.307,3
17.053,16.151,14.797,13.507,0.902,1.354,4
17.308,16.403,14.869,13.131,0.905,1.534,3
16.355,15.449,13.781,99.999,0.906,1.668,4
17.55,16.644,15.159,13.584,0.906,1.485,4
16.65,15.739,14.003,11.916,0.911,1.736,3
17.119,16.201,14.754,13.177,0.918,1.447,4
17.132,16.214,14.681,13.309,0.918,1.533,4
16.857,15.934,14.435,13.084,0.923,1.499,4
17.317,16.394,14.963,13.691,0.923,1.431,4
15.662,14.737,12.195,11.723,0.925,2.542,4
16.319,15.392,13.661,11.942,0.927,1.731,3
16.075,15.146,13.312,11.615,0.929,1.834,1
18.603,17.668,16.278,14.001,0.935,1.39,4
16.638,15.701,14.171,12.631,0.937,1.53,3
17.211,16.268,14.868,13.531,0.943,1.4,2
17.438,16.494,15.21,13.832,0.944,1.284,4
17.817,16.873,15.329,13.891,0.944,1.544,4
17.471,16.524,15.053,13.836,0.947,1.471,0
17.929,16.982,15.325,13.86,0.947,1.657,3
17.519,16.57,15.15,13.77,0.949,1.42,4
16.383,15.434,13.936,12.142,0.949,1.498,3
17.316,16.364,14.933,13.392,0.952,1.431,4
17.309,16.357,14.897,13.281,0.952,1.46,4
16.152,15.196,13.781,12.179,0.956,1.415,3
17.134,16.177,14.601,13.026,0.957,1.576,0
16.662,15.704,13.877,11.217,0.958,1.827,4
17.668,16.71,15.337,13.827,0.958,1.373,4
16.388,15.429,13.895,11.872,0.959,1.534,4
18.03,17.07,15.492,13.268,0.96,1.578,4
17.677,16.716,14.894,12.14,0.961,1.822,4
16.678,15.712,15.179,12.601,0.966,0.533,4
17.103,16.137,15.257,14.049,0.966,0.88,4
17.531,16.563,15.111,13.603,0.968,1.452,4
17.576,16.608,15.228,13.79,0.968,1.38,4
17.104,16.134,14.774,13.359,0.97,1.36,4
17.071,16.1,14.656,13.323,0.971,1.444,4
17.281,16.306,14.933,13.647,0.975,1.373,4
17.077,16.102,14.866,13.42,0.975,1.236,3
17.355,16.379,14.847,13.139,0.976,1.532,4
16.925,15.949,14.476,12.818,0.976,1.473,0
18.633,17.656,15.965,13.203,0.977,1.691,4
17.166,16.188,14.857,13.471,0.978,1.331,4
16.123,15.144,13.506,99.999,0.979,1.638,4
17.154,16.173,14.8,13.363,0.981,1.373,4
18.106,17.122,15.662,14.106,0.984,1.46,4
17.226,16.24,14.778,13.163,0.986,1.462,4
17.432,16.445,15.203,99.999,0.987,1.242,4
16.934,15.943,14.471,13.078,0.991,1.472,3
17.155,16.163,14.906,13.458,0.992,1.257,0
17.311,16.318,14.987,13.687,0.993,1.331,4
18.434,17.439,15.68,13.96,0.995,1.759,4
16.92,15.924,14.46,12.765,0.996,1.464,4
17.307,16.304,14.914,13.433,1.003,1.39,4
17.226,16.221,14.742,13.733,1.005,1.479,4
17.197,16.191,14.867,13.518,1.006,1.324,4
19.049,18.042,16.213,13.882,1.007,1.829,4
16.81,15.8,14.243,99.999,1.01,1.557,2
17.738,16.727,15.387,13.912,1.011,1.34,0
16.817,15.805,14.641,12.791,1.012,1.164,4
17.173,16.16,14.833,13.547,1.013,1.327,3
17.673,16.655,15.21,13.751,1.018,1.445,4
17.308,16.29,14.864,13.331,1.018,1.426,4
18.16,17.142,15.676,13.599,1.018,1.466,4
16.163,15.144,13.526,11.772,1.019,1.618,4
16.543,15.524,13.685,99.999,1.019,1.839,4
17.617,16.598,14.969,13.787,1.019,1.629,3
17.478,16.459,15.202,13.821,1.019,1.257,4
16.013,14.994,13.416,99.999,1.019,1.578,2
18.336,17.315,15.598,13.928,1.021,1.717,4
17.416,16.395,14.963,13.587,1.021,1.432,4
16.64,15.618,14.156,12.574,1.022,1.462,2
17.201,16.179,14.674,13.01,1.022,1.505,3
16.917,15.893,14.1,11.615,1.024,1.793,2
17.241,16.217,14.771,13.458,1.024,1.446,4
16.923,15.897,14.26,99.999,1.026,1.637,4
16.908,15.879,13.434,10.782,1.029,2.445,4
16.263,15.234,13.606,11.696,1.029,1.628,4
17.152,16.121,14.653,13.14,1.031,1.468,3
17.323,16.291,14.896,13.402,1.032,1.395,4
17.31,16.277,14.707,13.135,1.033,1.57,0
17.361,16.325,14.911,13.655,1.036,1.414,4
17.524,16.487,15.015,13.43,1.037,1.472,4
17.341,16.304,14.88,13.519,1.037,1.424,4
17.327,16.289,14.823,13.444,1.038,1.466,4
17.233,16.195,14.915,13.502,1.038,1.28,3
16.214,15.175,13.528,11.89,1.039,1.647,4
18.603,17.564,16.157,13.625,1.039,1.407,4
17.174,16.134,14.453,11.506,1.04,1.681,4
17.58,16.54,15.053,13.632,1.04,1.487,0
16.71,15.67,14.139,11.877,1.04,1.531,4
17.094,16.053,14.382,12.498,1.041,1.671,4
16.956,15.914,14.524,13.092,1.042,1.39,4
17.431,16.389,14.97,13.368,1.042,1.419,4
16.1,15.056,13.473,99.999,1.044,1.583,4
17.066,16.02,14.512,12.601,1.046,1.508,0
17.679,16.631,15.26,13.712,1.048,1.371,3
16.671,15.622,14.368,13.201,1.049,1.254,4
17.34,16.283,14.647,12.987,1.057,1.636,0
17.384,16.326,14.955,13.599,1.058,1.371,4
17.478,16.42,15.091,13.792,1.058,1.329,4
16.063,15.004,13.266,11.419,1.059,1.738,4
17.009,15.95,14.473,12.989,1.059,1.477,4
16.395,15.335,13.62,9.953,1.06,1.715,4
17.197,16.136,14.716,13.41,1.061,1.42,0
19.453,18.389,16.589,12.537,1.064,1.8,4
16.927,15.862,14.528,12.956,1.065,1.334,0
17.122,16.055,14.699,13.186,1.067,1.356,4
18.404,17.337,15.678,13.307,1.067,1.659,4
19.284,18.215,16.585,13.857,1.069,1.63,4
16.453,15.384,13.391,99.999,1.069,1.993,4
17.696,16.627,15.057,13.618,1.069,1.57,4
17.535,16.465,14.995,13.622,1.07,1.47,4
18.187,17.116,15.707,13.595,1.071,1.409,4
17.144,16.072,14.82,13.497,1.072,1.252,0
16.346,15.273,13.706,10.767,1.073,1.567,3
17.084,16.01,14.694,13.385,1.074,1.316,0
17.4,16.326,14.949,13.555,1.074,1.377,4
19.618,18.544,15.72,13.713,1.074,2.824,4
17.532,16.458,14.997,13.669,1.074,1.461,0
18.029,16.955,15.499,13.882,1.074,1.456,0
17.109,16.033,14.525,13.264,1.076,1.508,0
17.922,16.838,15.235,13.657,1.084,1.603,3
17.162,16.077,14.473,12.925,1.085,1.604,0
17.186,16.099,14.605,13.033,1.087,1.494,4
17.483,16.396,15,13.378,1.087,1.396,4
16.714,15.622,13.916,10.601,1.092,1.706,0
17.121,16.029,14.726,13.382,1.092,1.303,4
17.394,16.302,14.985,13.558,1.092,1.317,4
18.597,17.505,16.013,13.583,1.092,1.492,4
17.118,16.025,14.75,13.283,1.093,1.275,4
17.658,16.564,15.209,13.755,1.094,1.355,4
